New MrsP    Original MrsP    MSRP    FIFONP-JAVA    FIFOP-JAVA    FIFONP-C    FIFOP-C
11628945    244450    227221    7840293    5627028    931915652    929290566
757989    18123    19990    439056    292192    189009105    432273142
656579    7844    9074    166444    94111    465803010    839272876
765320    291451    350765    8496231    7001948    2396722098    2249964967
3689594    20221    22113    531630    349795    149279528    254083639
1816680    107714    146855    12061049    8766656    2810567239    3162130919
62840    268308    292001    5775024    4479892    986312889    978719651
15152490    262203    337712    6935200    5590052    703560703    733785128
4064039    1149849    1279889    13994345    7505421    1700510322    1368344481
889676    9644    12561    307258    278956    209365490    804725106
2121540    522870    636638    13700484    6769852    1891134567    1607262035
218733    6232    7732    117345    44594    126394441    241331050
89764250    317695    311829    6958270    5491602    827905498    1134876601
1943100    369434    337991    9328773    6611545    1367346243    1402428993
131973    44740    48977    9340342    6273019    1566987976    1467924442
1589212    12024    13504    263956    249854    308762022    909638748
2939791    43387    45880    1195882    8054158    192787731    3294198488
182548    66665    43858    2619255    1515539    468196548    749702235
2677560    1016781    1067975    12488339    7708170    1851561098    2591619989
2950451    28318    28764    938644    542714    239627092    384320358
729082    344026    523424    9733946    4824802    892086422    645955279
64627    7434    8533    145366    247746    372307210    1226895501
1630423    47420    52717    1884483    972386    572397912    1721505852
5089858    48831    52051    1821360    981814    215342651    329558917
1528275    12417    13831    290167    186258    169071054    393016205
954135    22765    23678    609378    733896    376356640    1148233571
4307022    28209    38793    811410    445871    133651718    284534219
173867    4404    5126    46127    24155    215872844    492915915
5177318    36720    74544    1114760    645437    154863924    226859515
96269    41635    44171    1135350    765599    232192767    542980752
1782314    193525    266080    9579531    5992210    1275229005    1114946635
253633    455662    509647    9465509    6124921    1671314136    2497478870
2164377    15154    20075    555920    208050    236332996    370933206
2100796    114187    62276    8832421    6259097    1669495624    2321673668
916866    23921    27383    686025    1171190    121441655    487064474
155313    4892    5425    46138    24173    278635757    337159942
272730    133753    150501    9852201    5788538    1406121818    1779695459
100621    228411    217380    11239332    6766581    2224869870    2217514350
1921079    136253    153479    12727570    6498398    2531922021    2651797731
4544785    158175    224203    10520022    6044012    1966765408    1664459527
132244    4807    5225    43212    25349    137491580    297938928
94999    368972    357635    10195459    6399540    1561440629    1646269874
199832    4312    5001    3685125    1334349    931648973    895414679
6587113    290636    291501    7641292    5174189    844397415    810297501
74012    4226    5140    34048    16343    187394896    373445304
440254    46028    21687    521389    8130936    127277397    2475280149
1011957    36795    39995    1140673    760722    204601872    374376487
5691648    38875    39209    955158    7044909    157166278    2129202982
97307    4373    5694    41083    19155    138304435    199389233
1295681    9270    10845    305130    163403    194317754    284771680
483166    6540    8052    80593    7383313    185795818    3979517186
117483    4809    17832    7367303    4613375    1089278613    965722346
2428877    24779    26075    735241    443037    264658524    615634514
1544182    10828    12512    357824    253169    242147557    396340267
2907635    16990    18021    514034    358050    217835702    310901445
87599    4255    5073    36020    148711    140235483    259672560
1161223    47020    26440    1666448    918526    300159527    459434854
3927990    21631    24164    9565862    6356544    1406147957    1532106520
3847854    341983    372057    11332438    8106992    2430358778    2757392998
737781    42491    11394    200276    155056    165920356    337198839
118347    260840    268485    8371322    6101934    3934102793    3548544012
6192741    35375    40265    1142693    682498    322214004    654110712
57063678    184531    213144    6981884    5409494    572571775    574393147
14438363    163418    182340    12436830    7337205    1697705336    1999958746
3572763    26022    30701    777410    385764    135819981    253825513
1674513    45631    10835    1465737    834160    169793783    282366607
2096687    27801    30782    869380    475981    204704637    455189151
57370684    303818    267035    6608718    3566502    643657949    411006218
1629171    227176    265591    11010068    5277724    1942051844    1117014671
460366    6655    8033    192513    922746    171566013    588678754
96583318    414317    509034    10573292    6239654    1427927283    1502286543
169275    15898    35756    504660    304706    282305696    545268222
864670    263819    173772    17548697    11028422    3624896262    3956281072
2311438    65175    68389    12933251    3276303    3217386276    2104512669
7829839    76627    70262    11886661    8030258    3992613188    3296348107
211944    21929    24424    573494    341121    191077144    436328154
7534809    366427    334111    13094900    7987314    2467668287    2828053010
863821    358454    352218    9422808    6919177    1827081982    1877765591
1233576    10148    10287    272726    162713    149600742    249721846
5696252    31747    33493    9089155    6354852    2250009962    2636249585
2198702    18231    20650    457113    257667    119487509    219162957
84123861    298413    288539    9332936    4469629    1115520094    750792741
1136971    44229    52019    634184    1314134    255550179    1077566026
108838    24116    27070    784032    558330    193548551    354731559
109001    4640    4998    1508998    7917685    448583458    2926032446
2135406    224698    344687    10352969    6362921    2196419780    2442634909
741139    324369    383770    10316573    7397605    1378421964    1767786346
2412635    53507    61197    9881949    6763295    1661016876    2447108755
2200009    27543    30812    12357338    1348656    3055683134    844110613
1151152    9736    36849    231531    152413    145798295    264166363
2625144    181849    170501    9155535    5664028    1341806708    1475116021
705773    103783    142704    11487679    7613004    3884763206    4539469274
98380    13708    16099    375116    258648    181083237    369574908
1681303    12768    14417    317309    227582    226239264    434043404
2507751    477490    560346    10150916    6909754    1717690079    2261450420
2312876    509746    640418    12379714    6768328    2027946420    1519760220
93900263    266981    460646    11298151    6002498    1019906995    767538547
548406    7280    8978    171408    75385    128402208    220090124
1878381    563403    609881    10288657    7267365    1569685407    1399151699
163233    49443    54122    1373118    836535    282553399    587476582
4939659    532168    573862    10116685    6446586    5101530331    3419428743
6233292    106568    182330    11747468    11468504    2982345171    5404997387
4258180    36931    41955    1163431    735877    173903416    405108144
2337756    31314    35749    1054653    460070    146230262    185966454
551545    14559    14463    413694    213433    231407829    405776052
87116    4064    4956    9120370    5992588    1653577806    2260670534
4134569    56034    31687    7765712    6773515    1553748036    2505863120
3616272    30555    34311    843040    508428    172245415    350771744
7251960    386461    370940    7099029    5436029    698682236    749845041
3818417    24021    27725    827536    718048    299719723    792875592
2536180    363744    455682    8729060    5425967    1647100778    1723680307
